,GP_name,quali_pos,driver,age_at_gp_in_days,position,driver_confidence,active_driver
7969,Autódromo Hermanos Rodríguez,3,Lewis Hamilton,12347,3,0.945273632,1
7970,Autódromo Hermanos Rodríguez,3,Lewis Hamilton,12711,4,0.945273632,1
7971,Autódromo Hermanos Rodríguez,4,Valtteri Bottas,10289,4,0.965034965,1
7972,Autódromo Hermanos Rodríguez,5,Valtteri Bottas,10653,5,0.965034965,1
7973,Autódromo Hermanos Rodríguez,6,Valtteri Bottas,11017,6,0.965034965,1
7974,Autódromo Hermanos Rodríguez,18,Daniil Kvyat,8223,18,0.917525773,1
7975,Autódromo Hermanos Rodríguez,9,Daniil Kvyat,9315,9,0.917525773,1
7976,Autódromo Hermanos Rodríguez,11,Carlos Sainz,7731,11,0.903846154,1
7977,Autódromo Hermanos Rodríguez,10,Carlos Sainz,8095,10,0.903846154,1
7978,Autódromo Hermanos Rodríguez,8,Max Verstappen,6606,8,0.914285714,1
7979,Autódromo Hermanos Rodríguez,20,Pierre Gasly,8299,15,0.93877551,1
7980,Autódromo Hermanos Rodríguez,10,Pierre Gasly,8663,10,0.93877551,1
7985,Autódromo Hermanos Rodríguez,9,Sergio Pérez,9410,9,0.933333333,1
7986,Autódromo Hermanos Rodríguez,12,Sergio Pérez,9774,12,0.933333333,1
7987,Autódromo Hermanos Rodríguez,9,Sergio Pérez,10138,10,0.933333333,1
7988,Autódromo Hermanos Rodríguez,13,Sergio Pérez,10502,13,0.933333333,1
7989,Autódromo Hermanos Rodríguez,6,Esteban Ocon,7712,6,0.923076923,1
7990,Autódromo Hermanos Rodríguez,11,Esteban Ocon,8076,11,0.923076923,1
7998,Autódromo Hermanos Rodríguez,9,Charles Leclerc,7682,9,0.844444444,1
7999,Autódromo Hermanos Rodríguez,5,Daniel Ricciardo,9619,5,0.942196532,1
8000,Autódromo Hermanos Rodríguez,4,Daniel Ricciardo,9983,4,0.942196532,1
8001,Autódromo Hermanos Rodríguez,16,Daniel Ricciardo,10347,7,0.942196532,1
8002,Autódromo Hermanos Rodríguez,1,Daniel Ricciardo,10711,1,0.942196532,1
8003,Autódromo Hermanos Rodríguez,4,Daniil Kvyat,7859,4,0.917525773,1
8004,Autódromo Hermanos Rodríguez,3,Max Verstappen,6970,3,0.914285714,1
8005,Autódromo Hermanos Rodríguez,2,Max Verstappen,7334,2,0.914285714,1
8006,Autódromo Hermanos Rodríguez,2,Max Verstappen,7698,2,0.914285714,1
8007,Autódromo Hermanos Rodríguez,4,Max Verstappen,8062,1,0.914285714,1
8008,Autódromo Hermanos Rodríguez,5,Alexander Albon,8618,5,0.956521739,1
8009,Autódromo Hermanos Rodríguez,12,Romain Grosjean,10790,12,0.851851852,1
8011,Autódromo Hermanos Rodríguez,14,Kimi Räikkönen,14620,14,0.944099379,1
8012,Autódromo Hermanos Rodríguez,15,Antonio Giovinazzi,9448,15,0.88,1
8013,Autódromo Hermanos Rodríguez,22,Romain Grosjean,11154,21,0.851851852,1
8014,Autódromo Hermanos Rodríguez,15,Romain Grosjean,11518,19,0.851851852,1
8015,Autódromo Hermanos Rodríguez,18,Romain Grosjean,11882,16,0.851851852,1
8016,Autódromo Hermanos Rodríguez,18,Romain Grosjean,12246,18,0.851851852,1
8018,Autódromo Hermanos Rodríguez,14,Kevin Magnussen,9155,18,0.952380952,1
8019,Autódromo Hermanos Rodríguez,16,Kevin Magnussen,9519,18,0.952380952,1
8020,Autódromo Hermanos Rodríguez,17,Kevin Magnussen,9883,17,0.952380952,1
8021,Autódromo Hermanos Rodríguez,11,Sergio Pérez,10866,11,0.933333333,1
8022,Autódromo Hermanos Rodríguez,16,Lance Stroll,7668,16,0.923076923,1
8024,Autódromo Hermanos Rodríguez,20,Esteban Ocon,7348,20,0.923076923,1
8027,Circuit Paul Ricard,8,Daniel Ricciardo,10949,8,0.942196532,1
8028,Circuit Paul Ricard,7,Carlos Sainz,8697,7,0.903846154,1
8030,Circuit Paul Ricard,19,Lance Stroll,7178,20,0.923076923,1
8032,Circuit Paul Ricard,20,George Russell,7798,19,0.958333333,1
8034,Circuit Paul Ricard,6,Carlos Sainz,9061,6,0.903846154,1
8036,Circuit Paul Ricard,5,Lando Norris,7162,5,0.916666667,1
8037,Circuit Paul Ricard,3,Sebastian Vettel,11314,3,0.955,1
8038,Circuit Paul Ricard,7,Sebastian Vettel,11678,7,0.955,1
8039,Circuit Paul Ricard,6,Kimi Räikkönen,14130,6,0.944099379,1
8040,Circuit Paul Ricard,3,Charles Leclerc,7920,3,0.844444444,1
8041,Circuit Paul Ricard,1,Lewis Hamilton,12221,1,0.945273632,1
8042,Circuit Paul Ricard,1,Lewis Hamilton,12585,1,0.945273632,1
8043,Circuit Paul Ricard,2,Valtteri Bottas,10527,2,0.965034965,1
8044,Circuit Paul Ricard,2,Valtteri Bottas,10891,2,0.965034965,1
8045,Circuit Paul Ricard,19,Daniil Kvyat,9189,16,0.917525773,1
8046,Circuit Paul Ricard,14,Pierre Gasly,8173,14,0.93877551,1
8048,Circuit Paul Ricard,11,Alexander Albon,8492,11,0.956521739,1
8049,Circuit Paul Ricard,13,Sergio Pérez,10376,13,0.933333333,1
8050,Circuit Paul Ricard,11,Esteban Ocon,7950,11,0.923076923,1
8052,Circuit Paul Ricard,8,Charles Leclerc,7556,8,0.844444444,1
8053,Circuit Paul Ricard,5,Daniel Ricciardo,10585,5,0.942196532,1
8054,Circuit Paul Ricard,4,Max Verstappen,7572,4,0.914285714,1
8055,Circuit Paul Ricard,4,Max Verstappen,7936,4,0.914285714,1
8056,Circuit Paul Ricard,9,Pierre Gasly,8537,9,0.93877551,1
8057,Circuit Paul Ricard,12,Kimi Räikkönen,14494,12,0.944099379,1
8058,Circuit Paul Ricard,10,Antonio Giovinazzi,9322,10,0.88,1
8059,Circuit Paul Ricard,10,Romain Grosjean,11756,10,0.851851852,1
8060,Circuit Paul Ricard,16,Romain Grosjean,12120,17,0.851851852,1
8061,Circuit Paul Ricard,9,Kevin Magnussen,9393,9,0.952380952,1
8062,Circuit Paul Ricard,15,Kevin Magnussen,9757,15,0.952380952,1
8063,Circuit Paul Ricard,14,Sergio Pérez,10740,14,0.933333333,1
8064,Circuit Paul Ricard,17,Lance Stroll,7542,18,0.923076923,1
8072,Buddh International Circuit,15,Valtteri Bottas,8826,15,0.965034965,1
8076,Buddh International Circuit,5,Lewis Hamilton,9792,2,0.945273632,1
8077,Buddh International Circuit,3,Lewis Hamilton,10156,3,0.945273632,1
8078,Buddh International Circuit,9,Sergio Pérez,8675,9,0.933333333,1
8096,Buddh International Circuit,3,Lewis Hamilton,10520,3,0.945273632,1
8101,Buddh International Circuit,15,Daniel Ricciardo,8520,15,0.942196532,1
8102,Buddh International Circuit,11,Daniel Ricciardo,8884,11,0.942196532,1
8114,Buddh International Circuit,20,Sergio Pérez,7947,17,0.933333333,1
8115,Buddh International Circuit,8,Sergio Pérez,8311,8,0.933333333,1
8120,Buddh International Circuit,1,Sebastian Vettel,8885,1,0.955,1
8121,Buddh International Circuit,1,Sebastian Vettel,9249,1,0.955,1
8122,Buddh International Circuit,1,Sebastian Vettel,9613,1,0.955,1
8123,Buddh International Circuit,7,Kimi Räikkönen,12065,7,0.944099379,1
8124,Buddh International Circuit,6,Kimi Räikkönen,12429,6,0.944099379,1
8125,Buddh International Circuit,11,Romain Grosjean,9691,11,0.851851852,1
8126,Buddh International Circuit,17,Romain Grosjean,10055,17,0.851851852,1
8134,Buddh International Circuit,23,Daniel Ricciardo,8156,21,0.942196532,1
